x,Horizontal distance from designated member edge- as defined in the AISC Steel Construction Manual- to member centroidal axis- in (mm)
y,Vertical distance from designated member edge- as defined in the AISC Steel Construction Manual- to member centroidal axis- in (mm)
eo,Horizontal distance from designated member edge- as defined in the AISC Steel Construction Manual- to member shear center- in (mm)
xp,Horizontal distance from designated member edge- as defined in the AISC Steel Construction Manual- to member plastic neutral axis- in (mm)
yp,Vertical distance from designated member edge- as defined in the AISC Steel Construction Manual- to member plastic neutral axis- in (mm)
bf/2tf,Slenderness ratio
b/t,Slenderness ratio for angles
b/tdes,Slenderness ratio for square or rectangular HSS
h/tw,Slenderness ratio
h/tdes,Slenderness ratio for square or rectangular HSS
D/t,Slenderness ratio for round HSS and pipe- or tee shapes
Ix,Moment of inertia about the x-axis- in<sup>4</sup> (mm<sup>4</sup> /10<sup>6</sup>)
Zx,Plastic section modulus about the x-axis- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
Sx,Elastic section modulus about the x-axis- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
rx,Radius of gyration about the x-axis- in (mm)
Iy,Moment of inertia about the y-axis- in<sup>4</sup> (mm<sup>4</sup> /10<sup>6</sup>)
Zy,Plastic section modulus about the y-axis- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
Sy,Elastic section modulus about the y-axis- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
ry,Radius of gyration about the y-axis (with no separation for double angles back-to-back)- in (mm)
Iz,Moment of inertia about the z-axis- in<sup>4</sup> (mm<sup>4</sup> /10<sup>6</sup>)
rz,Radius of gyration about the z-axis- in (mm)
Sz,Elastic section modulus about the z-axis- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
J,Torsional moment of inertia- in<sup>4</sup> (mm<sup>4</sup> /10<sup>3</sup>)
Cw,Warping constant- in<sup>6</sup> (mm<sup>6</sup> /10<sup>9</sup>)
C,HSS torsional constant- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
Wno,Normalized warping function- as used in Design Guide 9- in<sup>2</sup> (mm<sup>2</sup>)
Sw1,Warping statical moment at point 1 on cross section- as used in AISC Design Guide 9 and shown in Figures 1 and 2- in<sup>4</sup> (mm<sup>4</sup> /10<sup>6</sup>)
Sw2,Warping statical moment at point 2 on cross section- as used in AISC Design Guide 9 and shown in Figure 2- in<sup>4</sup> (mm<sup>4</sup> /10<sup>6</sup>)
Sw3,Warping statical moment at point 3 on cross section- as used in AISC Design Guide 9 and shown in Figure 2- in<sup>4</sup> (mm<sup>4</sup> /10<sup>6</sup>)
Qf,Statical moment for a point in the flange directly above the vertical edge of the web- as used in AISC Design Guide 9- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
Qw,Statical moment for a point at mid-depth of the cross section- as used in AISC Design Guide 9- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
ro,Polar radius of gyration about the shear center- in (mm)
H,Flexural constant
tan(&#945;),Tangent of the angle between the y-y and z-z axes for single angles- where a is shown in Figure 3
Iw,Moment of inertia about the w-axis for single angles- in<sup>4</sup> (mm<sup>4</sup> /10<sup>6</sup>)
zA,Distance from point A to center of gravity along z-axis- as shown in Figure 3- in (mm)
zB,Distance from point B to center of gravity along z-axis- as shown in Figure 3- in (mm)
zC,Distance from point C to center of gravity along z-axis- as shown in Figure 3- in (mm)
wA,Distance from point A to center of gravity along w-axis- as shown in Figure 3- in (mm)
wB,Distance from point B to center of gravity along w-axis- as shown in Figure 3- in (mm)
wC,Distance from point C to center of gravity along w-axis- as shown in Figure 3- in (mm)
SwA,Elastic section modulus about the w-axis at point A on cross section- as shown in Figure 3- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
SwB,Elastic section modulus about the w-axis at point B on cross section- as shown in Figure 3- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
SwC,Elastic section modulus about the w-axis at point C on cross section- as shown in Figure 3- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
SzA,Elastic section modulus about the z-axis at point A on cross section- as shown in Figure 3- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
SzB,Elastic section modulus about the z-axis at point B on cross section- as shown in Figure 3- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
SzC,Elastic section modulus about the z-axis at point C on cross section- as shown in Figure 3- in<sup>3</sup> (mm<sup>3</sup> /10<sup>3</sup>)
rts,Effective radius of gyration- in (mm)
ho,Distance between the flange centroids- in (mm)
PA,Shape perimeter minus one flange surface (or short leg surface for a single angle)- as used in Design Guide 19- in (mm)
PA2,Single angle shape perimeter minus long leg surface- as used in AISC Design Guide 19- in (mm)
PB,Shape perimeter- as used in AISC Design Guide 19- in (mm)
PC,Box perimeter minus one flange surface- as used in Design Guide 19- in (mm)
PD,Box perimeter- as used in AISC Design Guide 19- in (mm)
T,Distance between web toes of fillets at top and bottom of web- in (mm)
WGi,The workable gage for the inner fastener holes in the flange that provides for entering and tightening clearances and edge distance and spacing requirements. The actual size- combination- and orientation of fastener components should be compared with the geometry of the cross section to ensure compatibility. See AISC Manual Part 1 for additional information- in (mm)
WGo,The bolt spacing between inner and outer fastener holes when the workable gage is compatible with four holes across the flange. See AISC Manual Part 1 for additional information- in (mm)
